frame,time_seconds,mean_abs_difference,changed_fraction_ge_12
350,5.816667,0.26625,0.0
351,5.833333,0.15625,0.000139
352,5.85,0.592569,0.000972
353,5.866667,0.164931,0.000347
354,5.883333,0.43375,0.000833
355,5.9,0.195,0.000278
356,5.916667,0.438056,0.000694
357,5.933333,0.105,0.000278
358,5.95,0.144583,0.000278
359,5.966667,0.412361,0.000694
360,5.983333,0.13,0.000278
361,6.0,0.465278,0.000764
362,6.016667,0.132292,0.000347
363,6.033333,0.162569,0.000278
364,6.05,0.529722,0.000694
365,6.066667,0.126042,0.000347
366,6.083333,0.361597,0.000903
367,6.1,0.105069,0.0
368,6.116667,0.427778,0.000347
369,6.133333,0.044792,0.0
370,6.15,0.062361,0.000139
371,6.166667,0.301181,0.000625
372,6.183333,0.142708,0.0
373,6.2,0.396875,0.000278
374,6.216667,0.143958,0.0
375,6.233333,0.129514,0.0
376,6.25,0.435972,0.000972
377,6.266667,0.133403,0.0
378,6.283333,0.364931,0.000417
379,6.3,0.115486,0.0
380,6.316667,0.398264,0.000625
381,6.333333,0.054722,0.000278
382,6.35,0.057569,0.000139
383,6.366667,0.268472,0.000833
384,6.383333,0.137917,0.000208
385,6.4,0.494514,0.000903
386,6.416667,0.034167,0.000347
387,6.433333,0.008889,6.9e-05
388,6.45,0.377014,0.000625
389,6.466667,0.161181,0.0
390,6.483333,0.447361,0.000972
391,6.5,0.116944,0.0
392,6.516667,0.24375,0.000764
393,6.533333,0.049236,0.0
394,6.55,0.087986,0.0
395,6.566667,0.344931,0.000208
396,6.583333,0.124306,0.0
397,6.6,0.366319,0.000486
398,6.616667,0.182778,0.0
399,6.633333,0.112292,0.0
400,6.65,0.336875,0.000694
401,6.666667,0.002431,0.0
402,6.683333,19.918125,0.542222
403,6.7,0.174653,0.0
404,6.716667,0.159514,0.0
405,6.733333,0.1925,0.0
406,6.75,0.08875,0.0
407,6.766667,0.266528,0.0
408,6.783333,0.057986,0.0
409,6.8,0.054583,0.0
410,6.816667,0.290139,0.0
411,6.833333,0.071528,0.0
412,6.85,0.252708,0.0
413,6.866667,0.047639,0.0
414,6.883333,0.312778,0.0
415,6.9,0.069792,0.0
416,6.916667,0.041389,0.0
417,6.933333,0.245347,0.000208
418,6.95,64.188264,0.982778
419,6.966667,0.659514,0.006042
420,6.983333,0.122153,0.0
421,7.0,0.184306,0.000278
422,7.016667,0.699167,0.007153
423,7.033333,0.228125,0.002431
424,7.05,0.768958,0.009167
425,7.066667,0.169306,0.0025
426,7.083333,0.849306,0.00875
427,7.1,0.1025,0.001944
428,7.116667,0.031528,0.0
429,7.133333,0.839444,0.012431
430,7.15,0.144444,0.001111
431,7.166667,0.804028,0.010139
432,7.183333,0.130903,0.0
433,7.2,0.123611,6.9e-05
434,7.216667,0.847708,0.009375
435,7.233333,0.141181,0.000625
436,7.25,0.889236,0.014097
437,7.266667,0.180903,0.001111
438,7.283333,0.991597,0.012917
439,7.3,0.096319,0.001458
440,7.316667,0.054792,0.0
441,7.333333,1.088056,0.029097
442,7.35,0.124722,0.001458
443,7.366667,1.110625,0.021111
444,7.383333,0.136181,0.002014
445,7.4,0.125347,0.002083
446,7.416667,1.191944,0.022639
447,7.433333,0.164236,0.002083
448,7.45,1.131736,0.026597
449,7.466667,0.179306,0.002083
450,7.483333,1.134306,0.019236
451,7.5,0.10875,0.001875
452,7.516667,0.092917,0.001875
453,7.533333,1.021944,0.025
454,7.55,0.136736,0.001597
455,7.566667,0.984583,0.016944
456,7.583333,0.093056,0.001319
457,7.6,0.066528,0.001111
458,7.616667,0.055694,0.0
459,7.633333,1.113333,0.029097
460,7.65,1.074028,0.0175
461,7.666667,0.120347,0.000625
462,7.683333,1.052431,0.022153
463,7.7,0.058194,0.000347
464,7.716667,0.045764,0.000208
465,7.733333,0.789792,0.011458
466,7.75,0.068542,6.9e-05
467,7.766667,0.757708,0.009444
468,7.783333,0.093194,0.0
469,7.8,0.099653,0.0
470,7.816667,0.752917,0.008958
471,7.833333,0.071458,0.0
472,7.85,0.731944,0.009861
473,7.866667,0.083333,0.0
474,7.883333,0.701736,0.007014
475,7.9,0.047014,0.0
476,7.916667,0.042083,0.0
477,7.933333,0.512639,0.008819
478,7.95,0.090208,0.0
479,7.966667,0.561736,0.006875
480,7.983333,0.127014,0.0
481,8.0,0.208056,0.0
